estado,cidade,sorteio,ano,mes,n1,n2,n3,n4,n5,n6,data
mg,governador valadares,4-18-24-28-39-44,2012,5,4,18,24,28,39,44,2012-05-30
rs,porto alegre,10-22-24-38-39-49,2014,7,10,22,24,38,39,49,2014-07-30
rs,alegrete,16-18-22-24-34-43,2016,7,16,18,22,24,34,43,2016-07-30
pa,parauapebas,3-6-29-36-47-59,2009,9,3,6,29,36,47,59,2009-09-30
ce,fortaleza,4-28-30-31-35-54,2010,10,4,28,30,31,35,54,2010-10-30
pa,novo progresso,4-18-20-34-45-60,2013,7,4,18,20,34,45,60,2013-07-31
se,aracaju,1-27-29-38-50-52,2011,8,1,27,29,38,50,52,2011-08-31
sp,são paulo,10-16-28-47-51-59,2013,8,10,16,28,47,51,59,2013-08-31
sp,são paulo,7-14-31-33-36-49,2012,10,7,14,31,33,36,49,2012-10-31
df,brasília,10-27-40-46-49-58,2009,12,10,27,40,46,49,58,2009-12-31
es,cariacica,2-10-34-37-43-50,2010,12,2,10,34,37,43,50,2010-12-31
ce,russas,3-4-29-36-45-55,2011,12,3,4,29,36,45,55,2011-12-31
go,aparecida de goiânia,14-32-33-36-41-52,2012,12,14,32,33,36,41,52,2012-12-31
al,maceió,20-30-36-38-47-53,2013,12,20,30,36,38,47,53,2013-12-31
df,brasília,1-5-11-16-20-56,2014,12,1,5,11,16,20,56,2014-12-31
al,água branca,2-18-31-42-51-56,2015,12,2,18,31,42,51,56,2015-12-31
