sorteio,ano,mes,n1,n2,n3,n4,n5,n6,data
2-16-17-25-50-54,2012,4,2,16,17,25,50,54,2012-04-02
3-18-34-35-36-56,2015,4,3,18,34,35,36,56,2015-04-02
1-5-13-25-26-29,2016,4,1,5,13,25,26,29,2016-04-02
13-21-26-32-41-52,2000,4,13,21,26,32,41,52,2000-04-03
20-23-25-32-54-60,2006,4,20,23,25,32,54,60,2006-04-03
15-27-34-42-49-53,2009,4,15,27,34,42,49,53,2009-04-03
4-12-32-33-34-48,2015,4,4,12,32,33,34,48,2015-04-03
1-13-44-48-49-54,1998,4,1,13,44,48,49,54,1998-04-04
3-24-31-42-43-53,2007,4,3,24,31,42,43,53,2007-04-04
2-8-23-33-37-55,2009,4,2,8,23,33,37,55,2009-04-04
2-5-12-13-25-35,2012,4,2,5,12,13,25,35,2012-04-04
11-13-14-27-44-56,2015,4,11,13,14,27,44,56,2015-04-04
8-18-29-42-44-59,1997,4,8,18,29,42,44,59,1997-04-05
12-17-21-32-40-42,2002,4,12,17,21,32,40,42,2002-04-05
4-27-36-40-42-55,2005,4,4,27,36,40,42,55,2005-04-05
6-10-16-20-29-54,2011,4,6,10,16,20,29,54,2011-04-05
6-26-45-50-56-60,2013,4,6,26,45,50,56,60,2013-04-05
5-6-23-25-39-51,2003,4,5,6,23,25,39,51,2003-04-06
22-37-42-48-58-59,2005,4,22,37,42,48,58,59,2005-04-06
9-30-33-37-40-41,2008,4,9,30,33,37,40,41,2008-04-06
1-3-8-13-27-52,2011,4,1,3,8,13,27,52,2011-04-06
9-19-21-30-31-42,2014,4,9,19,21,30,31,42,2014-04-06
5-6-12-19-30-60,2016,4,5,6,12,19,30,60,2016-04-06
11-17-20-39-43-53,1998,4,11,17,20,39,43,53,1998-04-07
4-18-24-43-51-56,2007,4,4,18,24,43,51,56,2007-04-07
6-24-31-35-42-57,2009,4,6,24,31,35,42,57,2009-04-07
13-16-20-26-39-42,2012,4,13,16,20,26,39,42,2012-04-07
1-22-31-34-44-54,2015,4,1,22,31,34,44,54,2015-04-07
7-8-14-30-32-36,2001,4,7,8,14,30,32,36,2001-04-08
11-13-38-39-45-54,2004,4,11,13,38,39,45,54,2004-04-08
7-9-17-21-22-54,2007,4,7,9,17,21,22,54,2007-04-08
8-9-11-48-53-60,2010,4,8,9,11,48,53,60,2010-04-08
6-8-24-37-41-45,2012,4,6,8,24,37,41,45,2012-04-08
7-14-23-43-44-53,2015,4,7,14,23,43,44,53,2015-04-08
2-7-11-16-40-44,1999,4,2,7,11,16,40,44,1999-04-09
6-12-35-36-40-50,2002,4,6,12,35,36,40,50,2002-04-09
1-2-25-43-50-54,2004,4,1,2,25,43,50,54,2004-04-09
3-15-31-36-48-54,2010,4,3,15,31,36,48,54,2010-04-09
16-32-36-42-44-48,2013,4,16,32,36,42,44,48,2013-04-09
7-13-21-24-33-50,2003,4,7,13,21,24,33,50,2003-04-10
3-13-37-47-56-59,2006,4,3,13,37,47,56,59,2006-04-10
2-3-13-37-46-54,2008,4,2,3,13,37,46,54,2008-04-10
23-29-30-33-46-51,2014,4,23,29,30,33,46,51,2014-04-10
19-24-33-47-50-60,2000,4,19,24,33,47,50,60,2000-04-11
9-15-23-45-46-56,2006,4,9,15,23,45,46,56,2006-04-11
4-14-19-39-45-60,2009,4,4,14,19,39,45,60,2009-04-11
13-25-28-37-43-56,2015,4,13,25,28,37,43,56,2015-04-11
7-9-14-17-24-32,1999,4,7,9,14,17,24,32,1999-04-12
9-16-41-42-52-53,2002,4,9,16,41,42,52,53,2002-04-12
26-29-31-49-50-57,2004,4,26,29,31,49,50,57,2004-04-12
5-18-21-26-39-59,2010,4,5,18,21,26,39,59,2010-04-12
20-21-22-29-46-60,2013,4,20,21,22,29,46,60,2013-04-12
14-18-29-38-44-47,1997,5,14,18,29,38,44,47,1997-05-01
21-23-40-44-51-52,2002,5,21,23,40,44,51,52,2002-05-01
8-16-22-30-56-58,2005,5,8,16,22,30,56,58,2005-05-01
2-17-21-36-42-53,2008,5,2,17,21,36,42,53,2008-05-01
10-37-40-43-57-59,2011,5,10,37,40,43,57,59,2011-05-01
15-16-34-42-46-59,2013,5,15,16,34,42,46,59,2013-05-01
26-32-40-43-46-54,2000,5,26,32,40,43,46,54,2000-05-02
10-11-17-31-37-43,2003,5,10,11,17,31,37,43,2003-05-02
11-18-43-48-52-58,2005,5,11,18,43,48,52,58,2005-05-02
5-23-38-39-51-54,2011,5,5,23,38,39,51,54,2011-05-02
3-29-32-46-55-60,2014,5,3,29,32,46,55,60,2014-05-02
14-27-29-31-34-57,2005,5,14,27,29,31,34,57,2005-05-03
1-23-41-44-51-52,2008,5,1,23,41,44,51,52,2008-05-03
4-18-26-36-41-53,2011,5,4,18,26,36,41,53,2011-05-03
25-34-40-49-51-60,2014,5,25,34,40,49,51,60,2014-05-03
22-23-34-48-53-54,2016,5,22,23,34,48,53,54,2016-05-03
17-18-23-28-31-53,2003,5,17,18,23,28,31,53,2003-05-04
4-23-24-25-29-42,2006,5,4,23,24,25,29,42,2006-05-04
7-13-22-33-48-51,2008,5,7,13,22,33,48,51,2008-05-04
23-29-32-36-45-49,2014,5,23,29,32,36,45,49,2014-05-04
5-9-27-35-40-45,2001,5,5,9,27,35,40,45,2001-05-05
2-11-18-30-32-58,2004,5,2,11,18,30,32,58,2004-05-05
8-11-31-33-42-57,2007,5,8,11,31,33,42,57,2007-05-05
11-14-21-30-33-49,2010,5,11,14,21,30,33,49,2010-05-05
12-28-38-39-51-56,2012,5,12,28,38,39,51,56,2012-05-05
3-9-18-32-40-56,2015,5,3,9,18,32,40,56,2015-05-05
8-11-25-39-41-60,2016,5,8,11,25,39,41,60,2016-05-05
7-41-46-51-55-58,1999,5,7,41,46,51,55,58,1999-05-06
10-12-27-33-49-52,2002,5,10,12,27,33,49,52,2002-05-06
3-9-14-15-32-57,2004,5,3,9,14,15,32,57,2004-05-06
2-10-21-35-43-54,2010,5,2,10,21,35,43,54,2010-05-06
10-18-31-43-57-59,2013,5,10,18,31,43,57,59,2013-05-06
6-8-18-34-38-47,2003,5,6,8,18,34,38,47,2003-05-07
20-31-36-37-45-51,2006,5,20,31,36,37,45,51,2006-05-07
4-10-20-43-46-47,2008,5,4,10,20,43,46,47,2008-05-07
14-17-21-27-43-49,2014,5,14,17,21,27,43,49,2014-05-07
1-9-31-38-46-56,1996,5,1,9,31,38,46,56,1996-05-08
16-27-36-42-44-59,2000,5,16,27,36,42,44,59,2000-05-08
20-31-34-37-54-60,2006,5,20,31,34,37,54,60,2006-05-08
1-17-21-33-48-56,2009,5,1,17,21,33,48,56,2009-05-08
33-43-49-50-56-59,2014,5,33,43,49,50,56,59,2014-05-08
4-9-17-27-30-44,1998,5,4,9,17,27,30,44,1998-05-09
5-6-7-12-28-35,2001,5,5,6,7,12,28,35,2001-05-09
18-20-36-53-54-58,2007,5,18,20,36,53,54,58,2007-05-09
4-15-43-47-50-60,2009,5,4,15,43,47,50,60,2009-05-09
2-5-13-17-39-44,2012,5,2,5,13,17,39,44,2012-05-09
9-10-17-32-34-46,2015,5,9,10,17,32,34,46,2015-05-09
4-15-16-24-42-57,1997,5,4,15,16,24,42,57,1997-05-10
5-16-27-43-56-58,2002,5,5,16,27,43,56,58,2002-05-10
2-4-18-27-34-50,2005,5,2,4,18,27,34,50,2005-05-10
2-5-16-20-35-43,2011,5,2,5,16,20,35,43,2011-05-10
13-18-29-32-50-58,2013,5,13,18,29,32,50,58,2013-05-10
3-4-8-34-36-37,2003,5,3,4,8,34,36,37,2003-05-11
5-10-33-40-41-59,2005,5,5,10,33,40,41,59,2005-05-11
4-13-23-29-46-47,2008,5,4,13,23,29,46,47,2008-05-11
1-6-8-10-25-27,2011,5,1,6,8,10,25,27,2011-05-11
17-23-29-38-57-60,2014,5,17,23,29,38,57,60,2014-05-11
8-32-36-44-45-55,1998,5,8,32,36,44,45,55,1998-05-12
12-16-17-19-23-48,2001,5,12,16,17,19,23,48,2001-05-12
8-22-36-37-46-52,2007,5,8,22,36,37,46,52,2007-05-12
12-27-30-33-52-55,2009,5,12,27,30,33,52,55,2009-05-12
1-25-29-36-56-60,2012,5,1,25,29,36,56,60,2012-05-12
16-26-35-39-44-45,2015,5,16,26,35,39,44,45,2015-05-12
11-12-24-37-44-56,2001,6,11,12,24,37,44,56,2001-06-01
3-32-33-42-48-50,2007,6,3,32,33,42,48,50,2007-06-01
3-15-26-28-31-58,2010,6,3,15,26,28,31,58,2010-06-01
4-19-38-44-52-55,2016,6,4,19,38,44,52,55,2016-06-01
2-30-31-42-45-47,1999,6,2,30,31,42,45,47,1999-06-02
7-23-33-43-57-59,2002,6,7,23,33,43,57,59,2002-06-02
10-11-15-27-53-60,2008,6,10,11,15,27,53,60,2008-06-02
1-4-14-21-25-51,2010,6,1,4,14,21,25,51,2010-06-02
4-6-13-34-37-51,2013,6,4,6,13,34,37,51,2013-06-02
3-13-42-45-56-59,2016,6,3,13,42,45,56,59,2016-06-02
4-13-17-21-41-44,1999,6,4,13,17,21,41,44,1999-06-03
16-29-34-49-51-54,2002,6,16,29,34,49,51,54,2002-06-03
35-37-42-46-49-54,2004,6,35,37,42,46,49,54,2004-06-03
5-6-34-46-53-55,2010,6,5,6,34,46,53,55,2010-06-03
1-2-3-11-28-43,2013,6,1,2,3,11,28,43,2013-06-03
7-16-17-27-34-59,1997,6,7,16,17,27,34,59,1997-06-04
15-16-24-41-59-60,2002,6,15,16,24,41,59,60,2002-06-04
5-9-19-24-31-34,2005,6,5,9,19,24,31,34,2005-06-04
13-26-27-28-35-52,2011,6,13,26,27,28,35,52,2011-06-04
1-35-39-53-55-56,2013,6,1,35,39,53,55,56,2013-06-04
11-20-35-42-55-58,2016,6,11,20,35,42,55,58,2016-06-04
8-43-54-55-56-60,1996,6,8,43,54,55,56,60,1996-06-05
12-17-40-42-47-54,2000,6,12,17,40,42,47,54,2000-06-05
13-17-27-29-40-56,2006,6,13,17,27,29,40,56,2006-06-05
5-7-37-43-53-54,2009,6,5,7,37,43,53,54,2009-06-05
9-22-25-37-56-57,1998,6,9,22,25,37,56,57,1998-06-06
4-19-30-34-57-59,2007,6,4,19,30,34,57,59,2007-06-06
11-18-20-34-41-56,2009,6,11,18,20,34,41,56,2009-06-06
5-11-17-19-44-48,2012,6,5,11,17,19,44,48,2012-06-06
22-26-38-39-45-50,2015,6,22,26,38,39,45,50,2015-06-06
17-23-27-40-43-58,1997,6,17,23,27,40,43,58,1997-06-07
10-13-25-35-43-48,2002,6,10,13,25,35,43,48,2002-06-07
3-21-25-37-54-58,2005,6,3,21,25,37,54,58,2005-06-07
14-15-30-53-55-60,2011,6,14,15,30,53,55,60,2011-06-07
1-6-27-46-51-59,2013,6,1,6,27,46,51,59,2013-06-07
2-17-22-24-48-51,2016,6,2,17,22,24,48,51,2016-06-07
8-14-19-30-42-50,2003,6,8,14,19,30,42,50,2003-06-08
11-21-30-35-47-52,2005,6,11,21,30,35,47,52,2005-06-08
5-24-25-26-42-60,2008,6,5,24,25,26,42,60,2008-06-08
7-10-32-43-47-54,2011,6,7,10,32,43,47,54,2011-06-08
8-9-28-41-48-55,2013,6,8,9,28,41,48,55,2013-06-08
1-10-17-24-42-51,2015,6,1,10,17,24,42,51,2015-06-08
3-4-37-39-48-50,2016,6,3,4,37,39,48,50,2016-06-08
8-15-29-36-49-60,2003,6,8,15,29,36,49,60,2003-06-09
5-19-24-34-39-43,2006,6,5,19,24,34,39,43,2006-06-09
3-7-25-31-40-58,2008,6,3,7,25,31,40,58,2008-06-09
4-13-15-19-36-58,2013,6,4,13,15,19,36,58,2013-06-09
1-2-11-13-36-49,2014,6,1,2,11,13,36,49,2014-06-09
17-19-28-45-48-56,1996,6,17,19,28,45,48,56,1996-06-10
12-25-30-40-41-60,2001,6,12,25,30,40,41,60,2001-06-10
15-25-41-46-49-51,2004,6,15,25,41,46,49,51,2004-06-10
1-9-19-25-50-52,2007,6,1,9,19,25,50,52,2007-06-10
5-15-43-48-52-55,2010,6,5,15,43,48,52,55,2010-06-10
5-9-13-33-40-54,2012,6,5,9,13,33,40,54,2012-06-10
1-26-28-41-54-60,1999,6,1,26,28,41,54,60,1999-06-11
10-12-31-38-45-56,2002,6,10,12,31,38,45,56,2002-06-11
6-13-19-44-54-55,2004,6,6,13,19,44,54,55,2004-06-11
12-30-32-40-49-60,2010,6,12,30,32,40,49,60,2010-06-11
4-6-11-24-45-48,2013,6,4,6,11,24,45,48,2013-06-11
9-12-17-32-34-35,2003,6,9,12,17,32,34,35,2003-06-12
4-10-17-27-41-52,2006,6,4,10,17,27,41,52,2006-06-12
20-26-34-51-52-54,2008,6,20,26,34,51,52,54,2008-06-12
4-10-20-33-37-49,2014,6,4,10,20,33,37,49,2014-06-12
6-14-17-26-50-52,2004,7,6,14,17,26,50,52,2004-07-01
4-12-14-30-42-59,2006,7,4,12,14,30,42,59,2006-07-01
4-36-44-46-53-56,2009,7,4,36,44,46,53,56,2009-07-01
9-18-24-35-36-59,2012,7,9,18,24,35,36,59,2012-07-01
7-12-24-44-51-56,2015,7,7,12,24,44,51,56,2015-07-01
14-15-22-23-25-37,2004,7,14,15,22,23,25,37,2004-07-02
17-29-31-35-43-59,2007,7,17,29,31,35,43,59,2007-07-02
28-40-42-54-55-57,2009,7,28,40,42,54,55,57,2009-07-02
1-2-11-37-48-51,2015,7,1,2,11,37,48,51,2015-07-02
14-15-27-42-44-48,2007,7,14,15,27,42,44,48,2007-07-03
13-14-18-27-41-60,2009,7,13,14,18,27,41,60,2009-07-03
5-16-24-32-38-46,2012,7,5,16,24,32,38,46,2012-07-03
9-12-18-31-39-50,2015,7,9,12,18,31,39,50,2015-07-03
2-23-38-46-48-54,2001,7,2,23,38,46,48,54,2001-07-04
9-22-47-49-52-54,2004,7,9,22,47,49,52,54,2004-07-04
11-15-40-41-42-47,2007,7,11,15,40,41,42,47,2007-07-04
4-5-20-47-53-56,2010,7,4,5,20,47,53,56,2010-07-04
2-5-17-18-54-59,2012,7,2,5,17,18,54,59,2012-07-04
19-23-30-37-49-55,2003,7,19,23,30,37,49,55,2003-07-05
4-18-23-25-56-60,2005,7,4,18,23,25,56,60,2005-07-05
5-13-14-18-30-57,2008,7,5,13,14,18,30,57,2008-07-05
8-11-14-30-36-38,2011,7,8,11,14,30,36,38,2011-07-05
